Location Name	Address	City	ZIP	Taxpayer ID	Location Number	Permit Begin Date	Permit End Date
CROWN CHEMICAL	ROADWAY INN	AMARILLO	77100	32031525887	00004	10/02/1984	12/31/1989
CRESCENT BIG TEX III LP	1301 MCKINNEY	HOUSTON	77101	12025457388	00001	04/01/2005	06/01/2019
J & V STONE JEWELRY INC	MAIN STREET	DALLAS	77101	32005893683	00003	11/01/1999	11/01/1999
ELSIK INC	HWY 1 MI N OF NORMANNA	BEEVILLE	77102	17421770334	00001	12/31/1984	12/31/1984
MARY'S PLACE	300 W HEFFERMAN	BEEVILLE	77102	32031029534	00001	10/15/1991	06/30/1993
MONA SLAYTON	MAIN STREET	HOUSTON	77102	32021582971	00001	11/01/1999	11/01/1999
PFEIFER-HAMILTON	1001 CONVENTION CTR BLVD	HOUSTON	77102	14119264100	00001	12/01/1999	12/01/1999
ULTRONIC SYSTEMS CORP	1006 MAIN STREET	HOUSTON	77102	12107257680	00001	01/01/1963	06/30/1967
DOWN HOME COUNTRY	HWY 19 CANTON TRADE DAYS	CANTON	77103	32006960788	00001	08/30/1991	12/31/1995
DOWN HOME COUNTRY	HWY 64 EAST AT OLD MILL MARKET PLACE	CANTON	77103	32006960788	00002	01/01/1996	12/31/1999
APPLIANCE PARTS & SERVICE INC	1715 NORTH ALEXANDER	BAYTOWN	77104	17414965099	00004	04/01/1980	04/01/1980
JEFFREY L TIMMONS	HOUSTON CENTER	HOUSTON	77106	32026888944	00001	10/01/1995	10/01/1995
M K CHAMBERLAIN PRECAST	213 N W 4TH	AMARILLO	77107	17510482445	00004	06/01/1978	12/31/1978
SOUTHLAND BEAUTY SERV CNTRS FW INC	2300 W 6TH	FORT WORTH	77107	17510385424	00006	01/01/1977	02/28/1977
ALMEDA MALL	555 ALMEDA MALL	HOUSTON	77108	32044258575	00002	11/01/1970	09/30/1971
CHERRY HILL PHOTO ENTERPRISES	555 NORTHWEST MALL	HOUSTON	77108	32044258575	00001	11/01/1970	09/30/1971
APPLE ANNIE'S	3805 NAVASOTA	AMARILLO	77109	32026182728	00001	04/01/1982	12/25/1985
BARNCO INC	10820 CANYON EXPWY	AMARILLO	77109	17512869839	00003	08/01/1983	07/31/1987
CARLSON WAGONLIT TRAVEL INC	2777 ALLEN PKWY	HOUSTON	77109	14118800078	00018	01/01/1998	04/09/1999
TACO USA	6007 W 45TH	AMARILLO	77109	17420064804	00002	07/01/1979	03/31/1980
FOX PHOTO #3909	DENNIS & HWY 96	LUMBERTON	77111	17406309603	00299	08/21/1980	09/12/1986
FRUTILANDIA	305 SOUTHWEST MAIN	ENNIS	77117	30113540485	00001	09/07/1989	11/30/1990
HOUSTON QUILT SHOW	MAIN STREET AT AGGIE LANE	HOUSTON	77117	32003252130	00001	02/17/2001	02/17/2001
HOUSTON QVE SHOW	AGGIE LANE AT MAIN ST	HOUSTON	77117	18407708645	00001	02/17/2001	02/17/2001
JD'S GLASSWORKS INC	MAIN ST @ AGGIE LANE	HOUSTON	77117	15817430224	00002	03/17/2003	03/17/2003
OFFICE FURNITURE RESOURCES INC	6546 N 76TH ST	HOUSTON	77117	32011654830	00001	05/17/2003	05/17/2003
SAFESTONE TECHNOLOGIES INC	ONE TIME SALE	HOUSTON	77117	15103829865	00001	07/17/2002	07/17/2002
